编号	哈希值	中文名	日文名	英文名	图标	分类	标签	获得方式	交易价值	喜欢的类别
1	b3b39d0d46e7b9d565f499d45ceddaa6	苹野果	ヒメリのみ	Leppa Berry	1	食物	食物		10	
2	03251afbdc28624a6282086264556145	零余果	カゴのみ	Chesto Berry	2	食物	食物		10	
3	5d683963393a3da684f7e8d2d9efd38a	莓莓果	チーゴのみ	Rawst Berry	3	食物	食物		10	
4	addf2a720ecdc36c1eb9a7a9a69a9d67	利木果	ナナシのみ	Aspear Berry	4	食物	食物		10	
5	f804614d0171894f3baf114223efc16d	桃桃果	モモンのみ	Pecha Berry	5	食物	食物		10	
6	8fad5bd5159d0b61e6271377067877e7	木子果	ラムのみ	Lum Berry	6	食物	食物		10	
7	0457619da00a235c9bf5355ac5e190a8	豆子	マメ	Bean	7	食物	食物		50	
8	2a31c61781bad84ec252fc746cd93cdf	番茄	トマト	Tomato	8	食物	食物		50	
9	974ae2bd4cd5063a0be84eef32dbe7d0	小麦	コムギ	Wheat	9	食物	食物		50	
10	14e4096d48166db8fb8b147153483e19	马铃薯	ジャガイモ	Potato	10	食物	食物		50	
11	e1d7e908d5b656f353a891662246c80a	成熟的红萝卜	たべごろニンジン	Fresh carrot	11	食物	食物		20	
12	bd1acfd955041084f0ffe2fc6e1f48d1	海藻	かいそう	Seaweed	12	食物	食物		10	
13	7e0aa1261e99a97279063d53a078f720	成熟的蘑菇	たべごろキノコ	Cave mushrooms	13	食物	食物		10	
14	697286bd5240c0240c78af1b079d7c12	原味沙拉	プレーンサラダ	Simple salad	14	食物	食物		100	
15	71708eafee5b300cbc66ea5f01a500ff	苹野沙拉	ヒメリサラダ	Leppa salad	15	食物	食物		200	
16	b29502e789530fea3d2d4c96eb93bf21	海藻沙拉	かいそうサラダ	Seaweed salad	16	食物	食物		200	
17	a50c4fc1104aff9c5392cf00268102c5	丝丝沙拉	せんぎりサラダ	Shredded salad	17	食物	食物		200	
18	3359754070725311388392710feefdd2	捣捣沙拉	すりつぶしサラダ	Crushed-berry salad	18	食物	食物		200	
19	f88d0dc3540d769b400487bba51cc4c0	面包丁沙拉	クルトンサラダ	Crouton salad	19	食物	食物		200	
20	347c5875151190db333f6a9d03b9b831	原味汤	プレーンスープ	Simple soup	20	食物	食物		100	
21	56da4339222ee895c881257e0196d169	海藻汤	かいそうスープ	Seaweed soup	21	食物	食物		200	
22	ac6f3090050c57004e872b40dc6a8754	蘑菇汤	キノコスープ	Mushroom soup	22	食物	食物		200	
23	bc3ea68d12236aeb5e467224106cccf5	电电汤	ビリビリスープ	Electrifying soup	23	食物	食物		200	
24	7842782c0002ca44cdeaf4fd0e233010	药膳汤	やくぜんスープ	Healthy soup	24	食物	食物		200	
25	750cdfdb9ec3ab1b5df386fe509165f7	多滋汤	ジューシースープ	Flavorful soup	25	食物	食物		500	
26	a8b15366c5d42b9d9aadc9dd771a09c3	原味面包	プレーンパン	Simple bread	26	食物	食物		100	
27	792a54ae4e9e11fd1d9763c5076acb6e	苹野面包	ヒメリパン	Leppa bread	27	食物	食物		200	
28	019df2feabceace90c208cc8e4b9ffe3	红萝卜面包	キャロットパン	Carrot bread	28	食物	食物		200	
29	37fe767e9e712b819e8a3eeeceb774bf	重制面包	リメイクパン	Recycled bread	29	食物	食物		200	
30	398b5d9eca8670cd7ca47b35675f4763	松软面包	ふわふわパン	Fluffy bread	30	食物	食物		200	
31	adaf5f075d90683d4bb9c2b3fda907c0	热腾腾的浓汤面包	アツアツスープパン	Bread bowl	31	食物	食物		500	
32	b0f6d9338d1080ac10928860258cba80	原味汉堡排	プレーンハンバーグ	Simple hamburger steak	32	食物	食物		100	
33	e8b0fa9b19e9ce614162f55c2a6fb6f5	蘑菇汉堡排	きのこハンバーグ	Mushroom hamburger steak	33	食物	食物		200	
34	b945d4c40ab4e0706a825aafa6bb22ea	番茄汉堡排	トマトハンバーグ	Tomato hamburger steak	34	食物	食物		200	
35	0e80115be54b7ed88d5d1baf4225c902	马铃薯汉堡排	ジャガイモハンバーグ	Potato hamburger steak	35	食物	食物		200	
36	c48ade0fdf6d743c270cd258f43ec5eb	成熟滋味汉堡排	おとなのハンバーグ	Bitter hamburger steak	36	食物	食物		500	
37	03da2855d9b6d5ec9bfb983c7a82c92e	多彩汉堡排	いろどりハンバーグ	Vibrant hamburger steak	37	食物	食物		500	
38	396148e7d6399c4d741b2e00b18eb330	烂烂的树果	いたんだきのみ	Bruised berry	38	食物	食物		10	
39	494b2b4c23537350c5e3e921ac5997bb	普通糖果	ふつうのアメ	Common candy	39	食物	食物		100	
40	d3891abcfe3277c8811cde06741d3236	神奇糖果	ふしぎなアメ	Rare Candy	40	食物	食物		100	
41	9105ebeceeb5863a0eb6a150733a65d9	咖喱饭	カレーライス	Curry and rice	41	食物	食物		100	
42	0a4c6cb7b9fb8fa12451fe6be3c5e05b	美味之水	おいしいみず	Fresh Water	42	食物	食物		100	
43	4a21961877d83b915ea0105b7fb2a87d	劲爽汽水	サイコソーダ	Soda Pop	43	食物	食物		100	
44	e9bb5f9d3365b923b1cba9afee2f54f9	哞哞鲜奶咖啡	モーモーミルクコーヒー	Moomoo Milk Coffee	44	食物	食物		100	
45	ae2af9616bcd8e71ed0e6bd80b661ca2	罗丝雷朵茶	ロズレイティー	Roserade Tea	45	食物	食物		100	
46	0f8a9720b7ee7d6e036880ad98da18ca	辣酱	チリソース	Chili sauce	46	食物	食物		100	
47	da74f685fe2963d1752621d97c1f2660	甜甜蜜	あまいミツ	Honey	47	材料			100	
48	dbc2efa86d6315103348b528fe19ca9f	结实的树枝	じょうぶなえだ	Sturdy stick	48	材料			10	
49	452d1576b0e02c216e094730573e3ffd	石头	いし	Stone	49	材料			10	坚硬的|石制的
50	a31c664da5cc80ba16822bee5f9037c7	叶子	はっぱ	Leaf	50	材料			10	
51	a00f749505d7fd3f21f53ec637c82f29	小圆木	ちいさなまるた	Small log	51	材料			10	
52	bbdac6b6012b7d575ea341c32a78beef	藤蔓绳	つたひも	Vine rope	52	材料			10	细长的
53	6b615e859b39e019810b4e999649e330	发光蘑菇	ひかるキノコ	Glowing mushrooms	53	材料			20	
54	51188060f4951b862f4a8785c9787ded	线团	いとくず	Twine	54	材料			10	细长的
55	70891f77eddffa57cf55ad62d92817a8	海玻璃碎片	シーグラスのかけら	Sea glass fragments	55	材料			10	有玻璃的
56	7d3ccda040cde960af8453e518476f0f	贝壳	かいがら	Seashell	56	材料			10	
57	1188b9fa04cf9bc48d65a3bf26428ae2	不可燃垃圾	もえないゴミ	Nonburnable garbage	57	材料			10	垃圾
58	e7bb1f6a8fe3bf785cf0cfcbadcf2e27	软塌塌黏土	ぐにゃぐにゃねんど	Squishy clay	58	材料			10	柔软的
59	8b63475066d7424398d24f525f82f585	棉花	わた	Fluff	59	材料			10	布制的|圆圆的|柔软的
60	bef838fc416231367ecf245128cfdd65	废纸	かみのゴミ	Wastepaper	60	材料			10	垃圾
61	7afdc47ca4a6f591a71998c987fa2540	铜	どう	Copper ore	61	材料			10	金属的
62	81b706680eb8d6d53458c488cbfe7de8	铁	てつ	Iron ore	62	材料			10	金属的
63	e52400da8225deee29ad19a8bb074352	金子	きん	Gold ore	63	材料			100	金属的
64	2b1e2139221a77f5f585696dbc16299d	宝可金属碎片	ポケメタルのかけら	Pokémetal fragment	64	材料			100	金属的
65	da3f96e33906c2ad614a43c3474d7bdf	稀有宝可金属碎片	レアポケメタルのかけら	Rare Pokémetal fragment	65	材料			1000	金属的
66	1a8ea27b874917080a3951375bda5444	水晶碎片	クリスタルのカケラ	Crystal fragment	66	材料			100	有玻璃的|闪亮亮的
67	303c18c25a90bf08ed58d5287a17edcc	木材	ざいもく	Lumber	67	材料			20	
68	dab30bd7565d0f9b496ecf95bbd00162	砖块	レンガ	Brick	68	材料			50	
69	79f08ccc2a0ec008cd06b4b2bb4b65f2	铜条	どうののべぼう	Copper ingot	69	材料			100	金属的
70	e123899581492fc1d0b82bb59d8ae8aa	铁条	てつののべぼう	Iron ingot	70	材料			100	金属的
71	85a171a91c7fc8ce90d6d02b680aaaf1	金条	きんののべぼう	Gold ingot	71	材料			500	金属的
72	7aff3436333b5ae5a23d504659e3f231	宝可金属	ポケメタル	Pokémetal	72	材料			200	多彩的|金属的
73	bbdbee1b687ccc20be4ed156a4500e9c	稀有宝可金属	レアポケメタル	Rare Pokémetal	73	材料			2000	
