编号	形态编号	中文名	形态名	日文名	英文名	属性1	属性2	特长	时间	天气	栖息地	喜欢的环境	喜欢的东西	分类	图鉴说明	身高	体重
1	0	妙蛙种子		フシギダネ	Bulbasaur	草	毒	栽培	1111	111	001|022	明亮	能感受大自然的|柔软的|可爱的|能感受水的|大家一起用的|甜甜的	种子	从出生的时候开始，背上就背着一颗种子。每当身体长大时，种子也会跟着变大。	0.7	6.9
2	0	妙蛙草		フシギソウ	Ivysaur	草	毒	栽培	1111	111	022|011	明亮	能感受大自然的|柔软的|可爱的|百花盛开|多彩的|酸酸的	种子	背上的花苞会在吸收养分后鼓起。快开花时会散发出很香的味道。	1.0	13.0
3	0	妙蛙花		フシギバナ	Venusaur	草	毒	栽培|乱撒	1111	111	046|011	明亮	能感受大自然的|柔软的|可爱的|百花盛开|豪华的|酸酸的	种子	展开大片的花瓣沐浴阳光时，身体就会变得充满活力。	2.0	100.0
4	0	小火龙		ヒトカゲ	Charmander	火	火	点火	1111	110	001	温暖	能感受火的|木制的|坚硬的|训练用的|大家一起用的|辣辣的	蜥蜴	只要它精力充沛，尾巴尖端的火焰即使被稍微弄湿也会猛烈燃烧，而不会熄灭。	0.6	8.5
5	0	火恐龙		リザード	Charmeleon	火	火	点火	1111	110	017	温暖	能感受火的|木制的|坚硬的|训练用的|交通工具|辣辣的	火焰	如烈火般的性格让它一直寻找对战的对手。在打赢之前沸腾的热血都不会平息。	1.1	19.0
6	0	喷火龙		リザードン	Charizard	火	飞行	点火|飞翔	1111	110	040|001	温暖	能感受火的|能感受风的|木制的|训练用的|豪华的|辣辣的	火焰	从口中喷出灼热的火焰时，尾巴尖端的红色火焰会燃烧得更加猛烈。	1.7	90.5
7	0	杰尼龟		ゼニガメ	Squirtle	水	水	滋润	1111	111	001|004	潮湿	能感受水的|整洁的|能治愈伤口的|可爱的|大家一起用的|甜甜的	小龟	通过从水面喷水来捕食。在危急时刻会将四肢缩入龟壳里保护自己。	0.5	9.0
8	0	卡咪龟		カメール	Wartortle	水	水	滋润	1111	111	004	潮湿	能感受水的|整洁的|能治愈伤口的|训练用的|坚硬的|辣辣的	龟	经常潜伏在水中伺机袭击猎物。高速游泳时会用耳朵来保持平衡。	1.0	22.5
9	0	水箭龟		カメックス	Blastoise	水	水	滋润|交易	1111	111	036|004	潮湿	能感受水的|整洁的|能治愈伤口的|训练用的|豪华的|酸酸的	甲壳	甲壳上有喷射口，是个会以火箭般气势冲向对手的厉害家伙。	1.6	85.5
10	0	波波		ポッポ	Pidgey	一般	飞行	飞翔|找东西	1110	111	008|006	明亮	柔软的|能感受风的|用于观赏的|能感受大自然的|游乐区|酸酸的	小鸟	性格沉着冷静，即使受到攻击也很少反击，只会朝对手扬起沙子保护自己。	0.3	1.8
