kind,name,name_zh_hans,category,tag,selection_reasons,image_url,image_source,fallback_image_url,pokopiadex_slug,pokopiadex_category,pokopiadex_tags,infipoke_slug,infipoke_category,infipoke_tag,source_pages
decorative_item,Adventure kit,,Misc.,Toy,pokopiadex_tag:toy,https://pokopiadex.com/images/items/item_ui/adventure-kit.png,pokopiadex_items,,adventure-kit,Misc.,Toy,,,,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items
decorative_item,Afternoon tea set,下午茶套餐,Misc.,Decoration,infipoke_tag:decoration;pokopiadex_tag:decoration,https://pokopiadex.com/images/items/item_ui/afternoon-tea-set.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/afternoonteaset.webp,afternoon-tea-set,Misc.,Decoration,afternoonteaset,Misc.,Decoration,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items
decorative_item,Aged-stone flooring,风化石地板,Blocks,Road,infipoke_category:blocks;pokopiadex_category:blocks,https://pokopiadex.com/images/items/crafting_ui/aged-stone-flooring.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/aged-stoneflooring.webp,aged-stone-flooring,Blocks,Road,aged-stoneflooring,Blocks,Road,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items
decorative_item,Aged-stone wall,风化石墙,Blocks,,infipoke_category:blocks;pokopiadex_category:blocks,https://pokopiadex.com/images/items/crafting_ui/aged-stone-wall.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/aged-stonewall.webp,aged-stone-wall,Blocks,,aged-stonewall,Blocks,,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items
decorative_item,Air conditioner,空调,Misc.,Decoration,infipoke_tag:decoration;pokopiadex_tag:decoration,https://pokopiadex.com/images/items/item_ui/air-conditioner.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/airconditioner.webp,air-conditioner,Misc.,Decoration,airconditioner,Misc.,Decoration,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items
decorative_item,Alarm clock,闹钟,Misc.,Toy,infipoke_tag:toy;pokopiadex_tag:toy,https://pokopiadex.com/images/items/crafting_ui/alarm-clock.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/alarmclock.webp,alarm-clock,Misc.,Toy,alarmclock,Misc.,Toy,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items
decorative_item,Alpine grass,高山草,Blocks,,infipoke_category:blocks;pokopiadex_category:blocks,https://pokopiadex.com/images/items/item_ui/alpine-grass.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/alpinegrass.webp,alpine-grass,Blocks,,alpinegrass,Blocks,,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items
decorative_item,Antique bed,古董床,Furniture,Relaxation,infipoke_category:furniture;pokopiadex_category:furniture,https://pokopiadex.com/images/items/item_ui/antique-bed.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/antiquebed.webp,antique-bed,Furniture,Relaxation,antiquebed,Furniture,Relaxation,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items
decorative_item,Antique chair,古董椅,Furniture,Relaxation,infipoke_category:furniture;pokopiadex_category:furniture,https://pokopiadex.com/images/items/item_ui/antique-chair.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/antiquechair.webp,antique-chair,Furniture,Relaxation,antiquechair,Furniture,Relaxation,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items
decorative_item,Antique chandelier,古董吊灯,Utilities,Decoration,infipoke_tag:decoration;pokopiadex_tag:decoration,https://pokopiadex.com/images/items/item_ui/antique-chandelier.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/antiquechandelier.webp,antique-chandelier,Utilities,Decoration,antiquechandelier,Utilities,Decoration,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items
decorative_item,Antique chest,古董宝箱,Furniture,Decoration,infipoke_category:furniture;infipoke_tag:decoration;pokopiadex_category:furniture;pokopiadex_tag:decoration,https://pokopiadex.com/images/items/item_ui/antique-chest.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/antiquechest.webp,antique-chest,Furniture,Decoration,antiquechest,Furniture,Decoration,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items
