sequence,kind,name,name_zh_hans,category,tag,selection_reasons,image_url,image_source,fallback_image_url,pokopiadex_slug,pokopiadex_category,pokopiadex_tags,infipoke_slug,infipoke_category,infipoke_tag,source_pages,filename,relative_path,downloaded_url,downloaded_source,content_type,bytes,sha256,status,error
001,decorative_item,Adventure kit,,Misc.,Toy,pokopiadex_tag:toy,https://pokopiadex.com/images/items/item_ui/adventure-kit.png,pokopiadex_items,,adventure-kit,Misc.,Toy,,,,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,001-adventure-kit.png,assets/pokopia_image_sources/decorative_item_portraits/001-adventure-kit.png,https://pokopiadex.com/images/items/item_ui/adventure-kit.png,pokopiadex_items,image/png,133993,0186302ba18ec0d10babf09b0d43a688f5179f041fa0a9f24d0c7d738d4d68f9,ok,
002,decorative_item,Afternoon tea set,下午茶套餐,Misc.,Decoration,infipoke_tag:decoration;pokopiadex_tag:decoration,https://pokopiadex.com/images/items/item_ui/afternoon-tea-set.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/afternoonteaset.webp,afternoon-tea-set,Misc.,Decoration,afternoonteaset,Misc.,Decoration,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,002-afternoon-tea-set.png,assets/pokopia_image_sources/decorative_item_portraits/002-afternoon-tea-set.png,https://pokopiadex.com/images/items/item_ui/afternoon-tea-set.png,pokopiadex_items,image/png,32240,bf0c8637ff5b2caf0494abfc7c99846e09f6a7b883ee2c0f89c7943839e1b173,ok,
003,decorative_item,Aged-stone flooring,风化石地板,Blocks,Road,infipoke_category:blocks;pokopiadex_category:blocks,https://pokopiadex.com/images/items/crafting_ui/aged-stone-flooring.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/aged-stoneflooring.webp,aged-stone-flooring,Blocks,Road,aged-stoneflooring,Blocks,Road,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,003-aged-stone-flooring.png,assets/pokopia_image_sources/decorative_item_portraits/003-aged-stone-flooring.png,https://pokopiadex.com/images/items/crafting_ui/aged-stone-flooring.png,pokopiadex_items,image/png,106964,67b99fc14385b974b736bd9512ed6d083491b10eef182e017d13057ff6c2f158,ok,
004,decorative_item,Aged-stone wall,风化石墙,Blocks,,infipoke_category:blocks;pokopiadex_category:blocks,https://pokopiadex.com/images/items/crafting_ui/aged-stone-wall.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/aged-stonewall.webp,aged-stone-wall,Blocks,,aged-stonewall,Blocks,,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,004-aged-stone-wall.png,assets/pokopia_image_sources/decorative_item_portraits/004-aged-stone-wall.png,https://pokopiadex.com/images/items/crafting_ui/aged-stone-wall.png,pokopiadex_items,image/png,114499,444aaea37c6deb31a4c105e433d53f67ec4975ad451ffbb34e3d3bc46f9421c2,ok,
005,decorative_item,Air conditioner,空调,Misc.,Decoration,infipoke_tag:decoration;pokopiadex_tag:decoration,https://pokopiadex.com/images/items/item_ui/air-conditioner.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/airconditioner.webp,air-conditioner,Misc.,Decoration,airconditioner,Misc.,Decoration,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,005-air-conditioner.png,assets/pokopia_image_sources/decorative_item_portraits/005-air-conditioner.png,https://pokopiadex.com/images/items/item_ui/air-conditioner.png,pokopiadex_items,image/png,13590,fdd51323e434ed84633a765d0330601f280f4031d37ca382469934c5b5bd19b6,ok,
006,decorative_item,Alarm clock,闹钟,Misc.,Toy,infipoke_tag:toy;pokopiadex_tag:toy,https://pokopiadex.com/images/items/crafting_ui/alarm-clock.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/alarmclock.webp,alarm-clock,Misc.,Toy,alarmclock,Misc.,Toy,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,006-alarm-clock.png,assets/pokopia_image_sources/decorative_item_portraits/006-alarm-clock.png,https://pokopiadex.com/images/items/crafting_ui/alarm-clock.png,pokopiadex_items,image/png,146827,f74797b40dd76bd5eac5962916a7c73c053ddeefd080732d7a6f6375c77517fb,ok,
007,decorative_item,Alpine grass,高山草,Blocks,,infipoke_category:blocks;pokopiadex_category:blocks,https://pokopiadex.com/images/items/item_ui/alpine-grass.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/alpinegrass.webp,alpine-grass,Blocks,,alpinegrass,Blocks,,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,007-alpine-grass.png,assets/pokopia_image_sources/decorative_item_portraits/007-alpine-grass.png,https://pokopiadex.com/images/items/item_ui/alpine-grass.png,pokopiadex_items,image/png,102681,716c5bc54e98cab83d316e2db71fdce2c3a9e1ebf080a0077de3582e6c569770,ok,
008,decorative_item,Antique bed,古董床,Furniture,Relaxation,infipoke_category:furniture;pokopiadex_category:furniture,https://pokopiadex.com/images/items/item_ui/antique-bed.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/antiquebed.webp,antique-bed,Furniture,Relaxation,antiquebed,Furniture,Relaxation,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,008-antique-bed.png,assets/pokopia_image_sources/decorative_item_portraits/008-antique-bed.png,https://pokopiadex.com/images/items/item_ui/antique-bed.png,pokopiadex_items,image/png,40639,15094eb81ed1b7a7b2815a0001d4ed230deca8537abe84ecf52b3cc22745336a,ok,
009,decorative_item,Antique chair,古董椅,Furniture,Relaxation,infipoke_category:furniture;pokopiadex_category:furniture,https://pokopiadex.com/images/items/item_ui/antique-chair.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/antiquechair.webp,antique-chair,Furniture,Relaxation,antiquechair,Furniture,Relaxation,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,009-antique-chair.png,assets/pokopia_image_sources/decorative_item_portraits/009-antique-chair.png,https://pokopiadex.com/images/items/item_ui/antique-chair.png,pokopiadex_items,image/png,27009,117948a0b65273226e9e5e6a5c81281913e856cf6dd9f0737397ceb594bdbafc,ok,
010,decorative_item,Antique chandelier,古董吊灯,Utilities,Decoration,infipoke_tag:decoration;pokopiadex_tag:decoration,https://pokopiadex.com/images/items/item_ui/antique-chandelier.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/antiquechandelier.webp,antique-chandelier,Utilities,Decoration,antiquechandelier,Utilities,Decoration,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,010-antique-chandelier.png,assets/pokopia_image_sources/decorative_item_portraits/010-antique-chandelier.png,https://pokopiadex.com/images/items/item_ui/antique-chandelier.png,pokopiadex_items,image/png,28385,dc6d64a315d2274ba1fbbeb0cf82f46195a4b9f1137d3d3f1c3f5e11a448ae8e,ok,
011,decorative_item,Antique chest,古董宝箱,Furniture,Decoration,infipoke_category:furniture;infipoke_tag:decoration;pokopiadex_category:furniture;pokopiadex_tag:decoration,https://pokopiadex.com/images/items/item_ui/antique-chest.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/antiquechest.webp,antique-chest,Furniture,Decoration,antiquechest,Furniture,Decoration,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,011-antique-chest.png,assets/pokopia_image_sources/decorative_item_portraits/011-antique-chest.png,https://pokopiadex.com/images/items/item_ui/antique-chest.png,pokopiadex_items,image/png,25304,8110bdf1e0abee5ccdb86a9ae4c01ab0d38c6080f6f2284f3de397c3ee587dba,ok,
012,decorative_item,Antique clock,古董钟,Misc.,Decoration,infipoke_tag:decoration;pokopiadex_tag:toy,https://pokopiadex.com/images/items/item_ui/antique-clock.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/antiqueclock.webp,antique-clock,Misc.,Toy,antiqueclock,Misc.,Decoration,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,012-antique-clock.png,assets/pokopia_image_sources/decorative_item_portraits/012-antique-clock.png,https://pokopiadex.com/images/items/item_ui/antique-clock.png,pokopiadex_items,image/png,31680,ae924adb9088a582971c0d02ab80f4f587b254dffdcbf255f82792e2fc9e654e,ok,
013,decorative_item,Antique closet,古董衣柜,Furniture,Decoration,infipoke_category:furniture;infipoke_tag:decoration;pokopiadex_category:furniture;pokopiadex_tag:decoration,https://pokopiadex.com/images/items/item_ui/antique-closet.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/antiquecloset.webp,antique-closet,Furniture,Decoration,antiquecloset,Furniture,Decoration,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,013-antique-closet.png,assets/pokopia_image_sources/decorative_item_portraits/013-antique-closet.png,https://pokopiadex.com/images/items/item_ui/antique-closet.png,pokopiadex_items,image/png,26996,ab9226bf4b864a04b3009c951fbd4005960fc5288096c74a71c379c83afad315,ok,
014,decorative_item,Antique dresser,古董梳妆台,Furniture,Toy,infipoke_category:furniture;infipoke_tag:toy;pokopiadex_category:furniture;pokopiadex_tag:toy,https://pokopiadex.com/images/items/item_ui/antique-dresser.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/antiquedresser.webp,antique-dresser,Furniture,Toy,antiquedresser,Furniture,Toy,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,014-antique-dresser.png,assets/pokopia_image_sources/decorative_item_portraits/014-antique-dresser.png,https://pokopiadex.com/images/items/item_ui/antique-dresser.png,pokopiadex_items,image/png,29897,75dd060de0913dd6d84cf298636a45f57707bbe11940b26d9df6b59c60bf34ec,ok,
015,decorative_item,Antique sofa,古董沙发,Furniture,Relaxation,infipoke_category:furniture;pokopiadex_category:furniture,https://pokopiadex.com/images/items/item_ui/antique-sofa.png,pokopiadex_items,https://infipoke.com/img/pokopia/items/antiquesofa.webp,antique-sofa,Furniture,Relaxation,antiquesofa,Furniture,Relaxation,https://pokopiadex.com/items;https://infipoke.com/zh/game/pokopia/items,015-antique-sofa.png,assets/pokopia_image_sources/decorative_item_portraits/015-antique-sofa.png,https://pokopiadex.com/images/items/item_ui/antique-sofa.png,pokopiadex_items,image/png,30593,47074dbe948fa3fb1e60e433a78313da4e611af0c23520acb0f0a29af8decb88,ok,
