source,slug,name,name_zh_hans,category,source_page
infipoke_pokopia_items_zh_hans,honey,Honey,蜂蜜,Materials,https://infipoke.com/zh/game/pokopia/items
infipoke_pokopia_items_zh_hans,sturdystick,Sturdy stick,结实木棒,Materials,https://infipoke.com/zh/game/pokopia/items
infipoke_pokopia_items_zh_hans,stone,Stone,石头,Materials,https://infipoke.com/zh/game/pokopia/items
infipoke_pokopia_items_zh_hans,leaf,Leaf,叶子,Materials,https://infipoke.com/zh/game/pokopia/items
infipoke_pokopia_items_zh_hans,smalllog,Small log,小木材,Materials,https://infipoke.com/zh/game/pokopia/items
infipoke_pokopia_items_zh_hans,vinerope,Vine rope,藤蔓绳,Materials,https://infipoke.com/zh/game/pokopia/items
infipoke_pokopia_items_zh_hans,glowingmushrooms,Glowing mushrooms,发光蘑菇,Materials,https://infipoke.com/zh/game/pokopia/items
infipoke_pokopia_items_zh_hans,twine,Twine,细绳,Materials,https://infipoke.com/zh/game/pokopia/items
infipoke_pokopia_items_zh_hans,seaglassfragments,Sea glass fragments,海玻璃碎片,Materials,https://infipoke.com/zh/game/pokopia/items
infipoke_pokopia_items_zh_hans,seashell,Seashell,贝壳,Materials,https://infipoke.com/zh/game/pokopia/items
infipoke_pokopia_items_zh_hans,nonburnablegarbage,Nonburnable garbage,不可燃垃圾,Materials,https://infipoke.com/zh/game/pokopia/items
infipoke_pokopia_items_zh_hans,squishyclay,Squishy clay,柔软黏土,Materials,https://infipoke.com/zh/game/pokopia/items
infipoke_pokopia_items_zh_hans,fluff,Fluff,绒毛,Materials,https://infipoke.com/zh/game/pokopia/items
infipoke_pokopia_items_zh_hans,wastepaper,Wastepaper,废纸,Materials,https://infipoke.com/zh/game/pokopia/items
infipoke_pokopia_items_zh_hans,copperore,Copper ore,铜矿石,Materials,https://infipoke.com/zh/game/pokopia/items
infipoke_pokopia_items_zh_hans,ironore,Iron ore,铁矿石,Materials,https://infipoke.com/zh/game/pokopia/items
infipoke_pokopia_items_zh_hans,goldore,Gold ore,金矿,Materials,https://infipoke.com/zh/game/pokopia/items
infipoke_pokopia_items_zh_hans,pokemetalfragment,Pokémetal fragment,宝可金属碎片,Materials,https://infipoke.com/zh/game/pokopia/items
