sequence,kind,id,name,slug,description,category,tags,sources,event,inventory_status,collectible,order_key,order_value,trade_sell_value,trade_buy_value,trade_buy_quantity,life_coins,shop_level,mosslax,storage_capacity,habitat_item_category_ids,favorite_category_ids,image_url,variant_image_urls,source_page,source,filename,relative_path,downloaded_url,content_type,bytes,sha256,status,error
0001,placeable_item,197,Leppa Berry,leppa-berry,A berry with rather unremarkable flavor. Restores some PP when eaten.,Food,"[""Food""]","[""Gifts from Pokemon"",""Headbutt berry trees""]",,in-collection,,food_order,1,13,,,,,Increase Pokemon Friendship (Weak),,[],[],https://pokopiadex.com/images/items/dream_ui/leppa-berry.png,[],https://pokopiadex.com/items/leppa-berry,pokopiadex_items_in_collection,0001-leppa-berry.png,assets/pokopia_image_sources/item_portraits/0001-leppa-berry.png,https://pokopiadex.com/images/items/dream_ui/leppa-berry.png,image/png,141357,a535de3a7cb871dc0457ccb8c8cdd86eaec8fc9be2a5f51934afa18a3fa6c5a2,ok,
0002,placeable_item,414,Chesto Berry,chesto-berry,A rock-hard berry with a dry flavor. Restores some PP when eaten.,Food,"[""Food""]",[],,in-collection,,food_order,2,,,,,,Increase Feather Drops (Weak),,[],[2205],https://pokopiadex.com/images/items/item_ui/chesto-berry.png,[],https://pokopiadex.com/items/chesto-berry,pokopiadex_items_in_collection,0002-chesto-berry.png,assets/pokopia_image_sources/item_portraits/0002-chesto-berry.png,https://pokopiadex.com/images/items/item_ui/chesto-berry.png,image/png,25741,f3ff710846e665981d893d22cc1990dabcabd6eee2a3dbe01c2a58f66fb372ef,ok,
0003,placeable_item,415,Rawst Berry,rawst-berry,"The longer and more curled the leaves are, the more bitter this berry tastes. Restores some PP when eaten.",Food,"[""Food""]",[],,in-collection,,food_order,3,,,,,,Increase Rare Items (Weak),,[],[2197],https://pokopiadex.com/images/items/item_ui/rawst-berry.png,[],https://pokopiadex.com/items/rawst-berry,pokopiadex_items_in_collection,0003-rawst-berry.png,assets/pokopia_image_sources/item_portraits/0003-rawst-berry.png,https://pokopiadex.com/images/items/item_ui/rawst-berry.png,image/png,32476,074963eff7ac272298bc709f2ed3e43b19f25df40ed88dd60c403c6bf6a05855,ok,
0004,placeable_item,416,Aspear Berry,aspear-berry,This berry has a distinctively sharp sour taste. Restores some PP when eaten.,Food,"[""Food""]","[""Trade at PC""]",,in-collection,,food_order,4,,500,10,,,Increase Shop Quality & Discounts (Weak),,[],[2234],https://pokopiadex.com/images/items/item_ui/aspear-berry.png,[],https://pokopiadex.com/items/aspear-berry,pokopiadex_items_in_collection,0004-aspear-berry.png,assets/pokopia_image_sources/item_portraits/0004-aspear-berry.png,https://pokopiadex.com/images/items/item_ui/aspear-berry.png,image/png,27202,02b17c648d12fd1c391370250babd3b16fb4b96c835121e44fe667fcd604fbb8,ok,
0005,placeable_item,28,Pecha Berry,pecha-berry,"A sweet, delicious berry. Restores some PP when eaten.",Food,"[""Food""]","[""Headbutt berry trees""]",,in-collection,,food_order,5,,,,,,Increase Artifact Spawns (Weak),,[],[2240],https://pokopiadex.com/images/items/item_ui/pecha-berry.png,[],https://pokopiadex.com/items/pecha-berry,pokopiadex_items_in_collection,0005-pecha-berry.png,assets/pokopia_image_sources/item_portraits/0005-pecha-berry.png,https://pokopiadex.com/images/items/item_ui/pecha-berry.png,image/png,27083,ec884be41f34265c8d738c45b998b2fef6a0f730e3f9bf4b641a9ba6cf7ef67d,ok,
0006,placeable_item,417,Lum Berry,lum-berry,A berry that has a well-balanced flavor. Restores some PP when eaten.,Food,"[""Food""]",[],,in-collection,,food_order,6,,,,,,Increase Pokemon Friendship (Weak),,[],[],https://pokopiadex.com/images/items/item_ui/lum-berry.png,[],https://pokopiadex.com/items/lum-berry,pokopiadex_items_in_collection,0006-lum-berry.png,assets/pokopia_image_sources/item_portraits/0006-lum-berry.png,https://pokopiadex.com/images/items/item_ui/lum-berry.png,image/png,104195,aca061625ef00eef1c985cde22f5a8b13f02a1616915e7c410575b734b3cb88e,ok,
0007,placeable_item,671,Bean,bean,Small beans that are jam-packed with nutrients. Restores some PP when eaten.,Food,"[""Food""]","[""Harvest from ripe bean plant""]",,in-collection,,food_order,7,,,,,,Increase Artifact Spawns (Weak),,[],[2240],https://pokopiadex.com/images/items/item_ui/bean.png,[],https://pokopiadex.com/items/bean,pokopiadex_items_in_collection,0007-bean.png,assets/pokopia_image_sources/item_portraits/0007-bean.png,https://pokopiadex.com/images/items/item_ui/bean.png,image/png,114702,3f1d910a305b726e20002c71e7b8768535d851b3f275b53322aa53fe42d7cb33,ok,
0008,placeable_item,1577,Tomato,tomato,"A round, tasty-looking tomato. Restores some PP when eaten.",Food,"[""Food""]","[""inspect shiny water ripples""]",,in-collection,,food_order,8,,,,,,Increase Shop Quality & Discounts (Weak),,[],[2234],https://pokopiadex.com/images/items/item_ui/tomato.png,[],https://pokopiadex.com/items/tomato,pokopiadex_items_in_collection,0008-tomato.png,assets/pokopia_image_sources/item_portraits/0008-tomato.png,https://pokopiadex.com/images/items/item_ui/tomato.png,image/png,35963,d83e780c90f6dff021a1a2dbaec03fe39be53b4ba312091eb97a012c4828490d,ok,
0009,placeable_item,753,Wheat,wheat,They're actually edible raw! Restore some PP when eaten.,Food,"[""Food""]","[""inspect shiny water ripples""]",,in-collection,,food_order,9,,,,,,Increase Feather Drops (Weak),,[],[2205],https://pokopiadex.com/images/items/item_ui/wheat.png,[],https://pokopiadex.com/items/wheat,pokopiadex_items_in_collection,0009-wheat.png,assets/pokopia_image_sources/item_portraits/0009-wheat.png,https://pokopiadex.com/images/items/item_ui/wheat.png,image/png,119117,b5addf741c4397438edacce86fa74be3b02ee5646d712d47175ac5ebe27167d4,ok,
0010,placeable_item,1578,Potato,potato,A delicious potato-even with the skin still on! Restores some PP when eaten.,Food,"[""Food""]",[],,in-collection,,food_order,10,,,,,,Increase Rare Items (Weak),,[],[2197],https://pokopiadex.com/images/items/item_ui/potato.png,[],https://pokopiadex.com/items/potato,pokopiadex_items_in_collection,0010-potato.png,assets/pokopia_image_sources/item_portraits/0010-potato.png,https://pokopiadex.com/images/items/item_ui/potato.png,image/png,22720,d008d3a1bab6072d382000665e71d9dee543d0c41f61a5d980881f1cf2ce669a,ok,
