sequence,kind,name,name_zh_hans,filename,relative_path,image_url,source_page,source,translation_source,content_type,bytes,sha256,status,error
001,pokemon,Abra,凯西,001-abra.png,assets/pokopia_image_sources/pokemon_portraits/001-abra.png,https://pokopiadex.com/images/pokemon/sprites/abra.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,110701,cee7e3dc3d7bd3f0c3a8245726b9da35b14231327650b3e1eb9c77441d1cebe8,ok,
002,pokemon,Absol,阿勃梭鲁,002-absol.png,assets/pokopia_image_sources/pokemon_portraits/002-absol.png,https://pokopiadex.com/images/pokemon/sprites/absol.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,111362,d43a05e541c66debadc079f0ab1ff8f13320c777839f93a3a54f56873e584a9b,ok,
003,pokemon,Aerodactyl,化石翼龙,003-aerodactyl.png,assets/pokopia_image_sources/pokemon_portraits/003-aerodactyl.png,https://pokopiadex.com/images/pokemon/sprites/aerodactyl.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,90610,a042ce0156249507c4681e7e5f038fbe07c8bf4cbbd9468692371a13bd7f3c1e,ok,
004,pokemon,Alakazam,胡地,004-alakazam.png,assets/pokopia_image_sources/pokemon_portraits/004-alakazam.png,https://pokopiadex.com/images/pokemon/sprites/alakazam.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,143176,a8062be222beb498a638787ef218afab14af7724339d8be97b87ff3c01886d85,ok,
005,pokemon,Altaria,七夕青鸟,005-altaria.png,assets/pokopia_image_sources/pokemon_portraits/005-altaria.png,https://pokopiadex.com/images/pokemon/sprites/altaria.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,127509,6b95f27980cfe448aba22ecf7f9068725e1149b9c8fbfd4200b33522b145b624,ok,
006,pokemon,Amaura,冰雪龙,006-amaura.png,assets/pokopia_image_sources/pokemon_portraits/006-amaura.png,https://pokopiadex.com/images/pokemon/sprites/amaura.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,85422,2788ca565897633aee4492e177c5bf07a0134966fbc61904732143e70a0b5784,ok,
007,pokemon,Ampharos,电龙,007-ampharos.png,assets/pokopia_image_sources/pokemon_portraits/007-ampharos.png,https://pokopiadex.com/images/pokemon/sprites/ampharos.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,93913,80e0867c4f99a8f8bdf81766d5bfe6743741f63ed09ea7f592afc92fe238791f,ok,
008,pokemon,Arbok,阿柏怪,008-arbok.png,assets/pokopia_image_sources/pokemon_portraits/008-arbok.png,https://pokopiadex.com/images/pokemon/sprites/arbok.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,167986,853770aa56f527a12cb152fd253ddf3851a33562cdf2dc2b364d0f838fa2ed6f,ok,
009,pokemon,Arcanine,风速狗,009-arcanine.png,assets/pokopia_image_sources/pokemon_portraits/009-arcanine.png,https://pokopiadex.com/images/pokemon/sprites/arcanine.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,185699,551cf008b80ca6d1ef9b9687106b1307b4d88a1e510e5a337ff5bac2e7116bec,ok,
010,pokemon,Ariados,阿利多斯,010-ariados.png,assets/pokopia_image_sources/pokemon_portraits/010-ariados.png,https://pokopiadex.com/images/pokemon/sprites/ariados.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,136056,753fa72f7b1bfb92fe5f1f88cb8a79f4b617e86ecfc68acf77a84e13421d6313,ok,
