kind,id,name,slug,description,category,tags,sources,event,inventory_status,collectible,order_key,order_value,trade_sell_value,trade_buy_value,trade_buy_quantity,life_coins,shop_level,mosslax,storage_capacity,habitat_item_category_ids,favorite_category_ids,image_url,variant_image_urls,source_page,source
placeable_item,197,Leppa Berry,leppa-berry,A berry with rather unremarkable flavor. Restores some PP when eaten.,Food,"[""Food""]","[""Gifts from Pokemon"",""Headbutt berry trees""]",,in-collection,,food_order,1,13,,,,,Increase Pokemon Friendship (Weak),,[],[],https://pokopiadex.com/images/items/dream_ui/leppa-berry.png,[],https://pokopiadex.com/items/leppa-berry,pokopiadex_items_in_collection
placeable_item,414,Chesto Berry,chesto-berry,A rock-hard berry with a dry flavor. Restores some PP when eaten.,Food,"[""Food""]",[],,in-collection,,food_order,2,,,,,,Increase Feather Drops (Weak),,[],[2205],https://pokopiadex.com/images/items/item_ui/chesto-berry.png,[],https://pokopiadex.com/items/chesto-berry,pokopiadex_items_in_collection
placeable_item,415,Rawst Berry,rawst-berry,"The longer and more curled the leaves are, the more bitter this berry tastes. Restores some PP when eaten.",Food,"[""Food""]",[],,in-collection,,food_order,3,,,,,,Increase Rare Items (Weak),,[],[2197],https://pokopiadex.com/images/items/item_ui/rawst-berry.png,[],https://pokopiadex.com/items/rawst-berry,pokopiadex_items_in_collection
placeable_item,416,Aspear Berry,aspear-berry,This berry has a distinctively sharp sour taste. Restores some PP when eaten.,Food,"[""Food""]","[""Trade at PC""]",,in-collection,,food_order,4,,500,10,,,Increase Shop Quality & Discounts (Weak),,[],[2234],https://pokopiadex.com/images/items/item_ui/aspear-berry.png,[],https://pokopiadex.com/items/aspear-berry,pokopiadex_items_in_collection
placeable_item,28,Pecha Berry,pecha-berry,"A sweet, delicious berry. Restores some PP when eaten.",Food,"[""Food""]","[""Headbutt berry trees""]",,in-collection,,food_order,5,,,,,,Increase Artifact Spawns (Weak),,[],[2240],https://pokopiadex.com/images/items/item_ui/pecha-berry.png,[],https://pokopiadex.com/items/pecha-berry,pokopiadex_items_in_collection
placeable_item,417,Lum Berry,lum-berry,A berry that has a well-balanced flavor. Restores some PP when eaten.,Food,"[""Food""]",[],,in-collection,,food_order,6,,,,,,Increase Pokemon Friendship (Weak),,[],[],https://pokopiadex.com/images/items/item_ui/lum-berry.png,[],https://pokopiadex.com/items/lum-berry,pokopiadex_items_in_collection
placeable_item,671,Bean,bean,Small beans that are jam-packed with nutrients. Restores some PP when eaten.,Food,"[""Food""]","[""Harvest from ripe bean plant""]",,in-collection,,food_order,7,,,,,,Increase Artifact Spawns (Weak),,[],[2240],https://pokopiadex.com/images/items/item_ui/bean.png,[],https://pokopiadex.com/items/bean,pokopiadex_items_in_collection
placeable_item,1577,Tomato,tomato,"A round, tasty-looking tomato. Restores some PP when eaten.",Food,"[""Food""]","[""inspect shiny water ripples""]",,in-collection,,food_order,8,,,,,,Increase Shop Quality & Discounts (Weak),,[],[2234],https://pokopiadex.com/images/items/item_ui/tomato.png,[],https://pokopiadex.com/items/tomato,pokopiadex_items_in_collection
placeable_item,753,Wheat,wheat,They're actually edible raw! Restore some PP when eaten.,Food,"[""Food""]","[""inspect shiny water ripples""]",,in-collection,,food_order,9,,,,,,Increase Feather Drops (Weak),,[],[2205],https://pokopiadex.com/images/items/item_ui/wheat.png,[],https://pokopiadex.com/items/wheat,pokopiadex_items_in_collection
placeable_item,1578,Potato,potato,A delicious potato-even with the skin still on! Restores some PP when eaten.,Food,"[""Food""]",[],,in-collection,,food_order,10,,,,,,Increase Rare Items (Weak),,[],[2197],https://pokopiadex.com/images/items/item_ui/potato.png,[],https://pokopiadex.com/items/potato,pokopiadex_items_in_collection
